Current Supply Demand Report


"Last Update : Jul 10, 2024 18:40"

"Alberta Total Net Generation","11541"
"Net Actual Interchange","-415"
"Alberta Internal Load (AIL)","11956"
"Net-To-Grid Generation","8913"
"Contingency Reserve Required","547"
"Dispatched Contingency Reserve (DCR)","568"
"Dispatched Contingency Reserve -Gen","480"
"Dispatched Contingency Reserve -Other","88"
"LSSi Armed Dispatch","107"
"LSSi Offered Volume","106"
"Long Lead Time Volume","0"

"GAS","12657","8995","96"
"HYDRO","894","511","292"
"ENERGY STORAGE","190","20","60"
"SOLAR","1650","786","0"
"WIND","4748","552","0"
"OTHER","444","232","12"
"DUAL FUEL","466","445","20"
"COAL","0","0","0"
"TOTAL","21049","11541","480"

"British Columbia","-282"
"Montana","-133"
"Saskatchewan","0"
"TOTAL","-415"

"<center><b>Simple Cycle</b></center>"
"ASSET","MC","TNG","DCR"
"AB Newsprint (ANC1)","63","49","0"
"Bantry (ALP1)","7","4","0"
"Bellshill (BHL1)","5","4","0"
"Carson Creek (GEN5)","15","0","0"
"Cloverbar #1 (ENC1)","48","28","0"
"Cloverbar #2 (ENC2)","101","67","0"
"Cloverbar #3 (ENC3)","101","0","0"
"Crossfield Energy Centre #1 (CRS1)","48","38","0"
"Crossfield Energy Centre #2 (CRS2)","48","38","0"
"Crossfield Energy Centre #3 (CRS3)^","48","0","0"
"Drywood (DRW1)","6","0","0"
"Genesee Repower 1 (GNR1)","411","310","0"
"Genesee Repower 2 (GNR2)","411","329","0"
"High River 1 (HRV1)","10","9","0"
"High River 2 (HRV2)","10","9","0"
"Judy Creek (GEN6)","15","0","0"
"Lethbridge Burdett (ME03)","7","7","0"
"Lethbridge Coaldale (ME04)","6","5","0"
"Lethbridge Taber (ME02)","8","7","0"
"NPC2 JL Landry (NPC2)","9","9","0"
"NPC3 Elmworth (NPC3)","9","9","0"
"Northern Prairie Power Project (NPP1)","105","68","5"
"Parkland (ALP2)","10","0","0"
"Poplar Hill #1 (PH1)","48","27","0"
"Rainbow #5 (RB5)","50","0","0"
"Ralston (NAT1)","20","17","0"
"South Edmonton Terminal (SET1)","20","16","0"
"Valley View 1 (VVW1)","50","0","0"
"Valley View 2 (VVW2)","50","0","26"
"West Cadotte (WCD1)","20","9","0"
"West Pembina (PMB1)*","13","9","0"
"Wilson Creek (WLC1)","9","0","0"
"<center><b>Cogeneration</b></center>"
"ASSET","MC","TNG","DCR"
"Air Liquide Scotford #1 (ALS1)","106","76","5"
"AltaGas Harmattan (HMT1)","45","9","0"
"Base Plant (SCR1)","50","10","0"
"Bear Creek 1 (BCRK)","64","51","0"
"Bear Creek 2 (BCR2)","36","30","0"
"Blackfalds (BFD1)","6","0","0"
"CNRL Horizon (CNR5)*","203","178","0"
"COD1 Coaldale (COD1)","5","5","0"
"Camrose (CRG1)*","10","0","0"
"Caroline (SHCG)*","19","0","0"
"Carseland Cogen (TC01)","95","71","0"
"Christina Lake (CL01)","100","61","0"
"Dow Hydrocarbon (DOWG)","326","145","0"
"Edson (TLM2)","13","8","0"
"Empress (EPS1)*","46","28","0"
"Firebag (SCR6)","497","217","0"
"Fort Hills (FH1)","199","154","0"
"Foster Creek (EC04)","98","59","0"
"Heartland Petrochemical (HRT1)","108","80","0"
"Joffre #1 (JOF1)","474","327","0"
"Kearl (IOR3)","84","40","0"
"Lindbergh (PEC1)*","16","16","0"
"MEG1 Christina Lake (MEG1)","202","130","0"
"MacKay River (MKRC)","207","165","0"
"Mahkeses (IOR1)","180","136","0"
"Mulligan (MUL1)*","5","2","0"
"Muskeg River (MKR1)","202","119","0"
"Nabiye (IOR2)*","195","135","0"
"Nexen Inc #2 (NX02)","220","152","0"
"Poplar Creek (SCR5)","376","271","0"
"Primrose #1 (PR1)","100","69","0"
"Rainbow Lake #1 (RL1)","47","23","0"
"Redwater Cogen (TC02)","92","60","0"
"Saddle Hills (SDH1)","10","10","0"
"Scotford Upgrader (APS1)","195","130","0"
"Strathcona (IOR4)*","43","38","0"
"Syncrude #1 (SCL1)","510","452","0"
"U of C Generator (UOC1)*","12","10","0"
"University of Alberta (UOA1)*","39","2","0"
"Wembley (WEM1)*","19","13","0"
"<center><b>Combined Cycle</b></center>"
"ASSET","MC","TNG","DCR"
"Cascade 1 (CAS1)","450","273","0"
"Cascade 2 (CAS2)","450","222","0"
"Cavalier (EC01)","120","104","0"
"ENMAX Calgary Energy Centre (CAL1)","330","285","0"
"Fort Nelson (FNG1)","73","0","0"
"H.R. Milner (HRM)","300","191","0"
"Medicine Hat #1 (CMH1)","299","256","10"
"Nexen Inc #1 (NX01)","120","44","0"
"Shepard (EGC1)","868","756","0"
"<center><b>Gas Fired Steam</b></center>"
"ASSET","MC","TNG","DCR"
"Battle River #4 (BR4)","155","121","30"
